Id,Name,OperatingSystem,LastSeen,CreatedAt,IPv4,IPv6,FQDN,Disabled,Deprovisioned,LastHarvested
1,LAPTOP-64643G0F,Microsoft Windows NT 10.0.22631.0,2025-07-03 14:08:17.8682835,2025-07-03 14:01:03.0079651,,,,0,0,
2,AirvonThorsten,Unix 15.5.0,2025-07-03 20:23:58.208636,2025-07-03 20:23:58.242269,10.18.213.28,"","",0,0,
3,THORSTENSDEVBOX,Microsoft Windows NT 10.0.26120.0,2025-07-04 22:00:33.9176342,2025-07-04 21:43:51.1356557,,,,0,0,
4,Mac-mini,Unix 15.5.0,2025-07-11 21:32:57.551391,2025-07-05 11:17:00.203188,,,,0,0,
5,ubuntu-linux-2404,Unix 6.8.0.63,2025-07-05 13:01:33.2799632,2025-07-05 13:01:33.3354945,,,,0,0,
6,GWDG-C5058,Microsoft Windows NT 10.0.26100.0,2025-07-22 07:16:16.1737533,2025-07-10 09:13:17.9416051,,,,0,0,
7,MacBook-Air-von-Thorsten,Unix 15.6.0,2025-08-12 15:12:37.218309,2025-07-14 06:40:28.615245,,,,0,0,
8,new-host-15,Unix 15.5.0,2025-07-19 17:24:30.900303,2025-07-19 15:46:01.576562,,,,0,0,
9,NB-3L6VWL3,Unix 15.5.0,2025-07-21 20:28:34.216232,2025-07-19 21:42:59.61704,,,,0,0,
10,GWDG-C6136,Microsoft Windows NT 10.0.26100.0,2025-08-18 14:42:20.4973127,2025-07-22 14:26:14.5675761,,,,0,0,
11,MacBook-Air,Unix 15.6.0,2025-08-16 20:17:41.349447,2025-08-16 19:27:08.66115,,,,0,0,
12,X64DEVBOX,Microsoft Windows NT 10.0.26200.0,2025-08-31 21:01:44.2553569,2025-08-19 20:44:30.3365392,,,,0,0,
13,X64DevBox,Unix 6.6.87.2,2025-08-24 16:55:15.9988131,2025-08-24 15:46:40.6884369,,,,0,0,
14,new-host-20,Unix 15.6.1,2025-08-31 17:06:27.204691,2025-08-31 17:06:27.232231,,,,0,0,
15,localhost,Unix 26.0.1,2025-10-14 16:54:29.019064,2025-10-14 12:15:58.757262,,,,0,0,
16,Mac,Unix 26.1.0,2025-11-12 21:08:14.803136,2025-11-01 14:53:20.297036,127.0.0.1,::1,localhost,0,0,2025-11-12 21:08:14.803137
17,loremipsum,Unix 26.0.1,2025-10-14 16:54:29.019064,2025-10-14 12:15:58.757262,,,,0,0,
